GeneID	PRAD_N_1	PRAD_N_2	PRAD_N_3	PRAD_N_4	PRAD_N_5	PRAD_N_6	PRAD_N_7	PRAD_N_8	PRAD_N_9	PRAD_T_1	PRAD_T_2	PRAD_T_3	PRAD_T_4	PRAD_T_5	PRAD_T_6	PRAD_T_7	PRAD_T_8	PRAD_T_9
ENSG00000157870	1930	2852	3196	2482	1824	2075	2927	3663	2438	2440	1100	1485	1072	1130	2936	3734	1386	567
ENSG00000142606	338	480	559	152	182	417	533	679	592	656	1190	393	104	176	733	1153	457	159
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	53	63	90	97	92	124	95	238	107	162	79	45	505	131	75	401	46	60
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	16	9	7	32	5	46	26	46	7	16	14	6	99	43	3	4	15	17
ENSG00000142611	54	83	51	93	50	83	62	117	68	80	83	29	65	123	21	33	55	48
ENSG00000226286	0	0	6	1	2	0	0	7	0	1	0	1	2	1	1	7	0	0
ENSG00000279839	2	2	5	2	10	4	0	3	0	5	1	1	2	6	5	1	0	3
ENSG00000272235	0	3	0	3	1	1	1	0	0	0	0	1	1	0	0	0	1	0
ENSG00000130762	1779	1131	1826	1458	2883	1705	2202	2178	1800	1901	1407	2013	2549	1550	1484	1847	1180	654
ENSG00000272088	3	0	5	4	10	6	0	3	3	10	2	3	5	8	3	0	12	2
ENSG00000162591	1257	2747	2658	3001	2543	2515	4779	5416	2118	2682	3724	2444	6868	5077	1007	748	1702	675
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	4	5	8	3	9	12	19	4	1	43	10	4	43	4	12	61	7	12
ENSG00000158109	6315	5335	4191	6081	4369	6113	5277	5941	7616	5658	3233	2573	2989	3869	4050	4778	3679	2030
ENSG00000116213	969	768	882	1052	911	1191	1044	1453	1522	1123	627	707	1183	901	772	913	801	574
ENSG00000078900	639	616	1180	334	382	700	522	826	542	57	145	122	941	792	112	163	113	220
ENSG00000227589	0	5	0	4	1	1	0	0	2	1	0	0	20	0	2	1	1	0
ENSG00000235131	0	0	0	0	0	0	2	0	0	1	1	0	2	1	0	1	0	2
